osnova;sosed1;sosed2
Авиамоторная; Шоссе Энтузиастов; Первомайская
Автозаводская; Технопарк; Коломенская
Академическая; Профсоюзная; Ленинский проспект
Александровский сад; Арбатская; Боровицкая
Алексеевская; Рижская; ВДНХ
Алма-Атинская; Красногвардейская; Краснопресненская
Алтуфьево; Бибирево; Отрадное
Аннино; Бульвар Дмитрия Донского; Улица Академика Янгеля
Арбатская; Смоленская; Александровский сад
Аэропорт; Сокол; Динамо
Бабушкинская; Медведково; Свиблово
Багратионовская; Фили; Филевский Парк
Балтийская; Коптево; Петровско-Разумовская
Баррикадная; Краснопресненская; Красносельская
Бауманская; Электрозаводская; Курская
Беговая; Улица 1905 года; Полежаевская
Белорусская; Маяковская; Динамо
Беляево; Коньково; Калужская
Бибирево; Алтуфьево; Медведково
Библиотека имени Ленина; Охотный ряд; Боровицкая
Борисово; Шипиловская; Марьино
Боровицкая; Александровский сад; Библиотека имени Ленина
Боровское шоссе; Новоясеневская; Солнцево
Ботанический сад; Свиблово; ВДНХ
Братиславская; Люблино; Марьино
Бульвар адмирала Ушакова; Улица Горчакова; Улица Скобелевская
Бульвар Дмитрия Донского; Улица Старокачаловская; Каховская
Бульвар Рокоссовского; Черкизовская; Преображенская площадь
Бунинская аллея; Улица Горчакова; Аннино
Бутырская; Марьина роща; Достоевская
Варшавская; Каховская; Коломенская
ВДНХ; Ботанический сад; Алексеевская
Владыкино; Петровско-Разумовская; Отрадное
Водный стадион; Речной вокзал; Спартак
Войковская; Сокол; Аэропорт
Волгоградский проспект; Текстильщики; Пролетарская
Волжская; Люблино; Братиславская
Волоколамская; Мякинино; Строгино
Воробьевы горы; Университет; Парк культуры
Выставочная; Международная; Киевская
Выхино; Рязанский проспект; Лермонтовский проспект
Деловой центр; Парк Победы; Киевская
Динамо; Аэропорт; Белорусская
Дмитровская; Тимирязевская; Савеловская
Добрынинская; Павелецкая; Серпуховская
Домодедовская; Красногвардейская; Орехово
Достоевская; Маяковская; Тверская
Дубровка; Кожуховская; Павелецкая
Жулебино; Лермонтовский проспект; Котельники
Зябликово; Красногвардейская; Шипиловская
Измайловская; Первомайская; Партизанская
Калужская; Беляево; Новые Черёмушки
Кантемировская; Царицыно; Каширская
Каховская; Бульвар Дмитрия Дон;
Каширская; Каховская; Варшавская 
Киевская; Смоленская; Арбатская
Китай-город; Третьяковская; Тургеневская
Кожуховская;Печатники; Кузьминки
Коломенская; Автозаводская; Каширская
Комсомольская; Красносельская; Красные ворота
Коньково; Беляево; Теплый Стан
Котельники; Жулебино; Лермонтовский проспект
Красногвардейская ; Черкизовская; Аннино
Краснопресненская ; Баррикадная; Улица 1905 года
Красносельская ; Комсомольская; Сокольники
Красные ворота ; Комсомольская; Красносельская
Крестьянская застава ; Римская; Дубровка
Кропоткинская ; Парк культуры; Октябрьская
Крылатское ; Молодежная; Выставочная
Кузнецкий мост ; Пушкинская; Лубянка
Кузьминки ; Лермонтовский проспект; Волжская
Кунцевская ; Молодежная; Славянский бульвар
Курская ; Чкаловская; Площадь Революции
Кутузовская ; Смоленская; Парк Победы
Ленинский проспект ; Академическая; Шаболовская
Лермонтовский проспект ; Жулебино; Кузьминки
Ломоносовский проспект ; Раменки; Минская
Лубянка ; Охотный Ряд; Чистые пруды
Лухмановская ; Марьина роща; Ботанический сад
Марксистская ; Таганская; Площадь Ильича
Марьина роща ; Бутырская; Достоевская
Марьино ; Братиславская; Люблино
Маяковская ; Тверская; Белорусская
Медведково ; Бабушкинская; Отрадное
Менделеевская ; Чистые пруды; Новослободская
Митино ; Волоколамская; Пятницкое шоссе
Мичуринский проспект ; Озёрная; Теплый стан
Молодежная ; Кунцевская; Крылатское
Мякинино ; Строгино; Волоколамская
Нагатинская ; Тульская; Каширская
Нагорная ; Тульская; Аннино
Нахимовский проспект ; Южная; Беляево
Нижегородская ; Римская; Площадь Ильича
Новогиреево ; Новокосино; Перово
Новокосино ; Новогиреево; Лермонтовский проспект
Новокузнецкая ; Павелецкая; Третьяковская
Новопеределкино ; Рассказовка; Саларьево
Новослободская ; Белорусская; Менделеевская
Новые Черемушки ; Калужская; Профсоюзная
Окружная ; Петровско-Разумовская; Улица Милашенкова
Октябрьская ; Парк культуры; Добрынинская
Октябрьское поле ; Полежаевская; Щукинская
Орехово ; Домодедовская; Царицыно
Отрадное ; Бибирево; Владыкино
Охотный ряд ; Театральная; Лубянка
Павелецкая ; Новокузнецкая; Таганская
Парк культуры ; Кропоткинская; Фрунзенская
Парк Победы ; Киевская; Славянский бульвар
Партизанская ; Измайловская; Семеновская
Первомайская ; Измайловская; Щелковская
Перово ; Новогиреево; Шоссе Энтузиастов
Петровско-Разумовская ; Владыкино; Тимирязевская
Пионерская ; Филевский парк; Беговая
Планерная ; Сходненская; Тушинская
Площадь Ильича ; Авиамоторная; Римская
Площадь Революции ; Арбатская; Театральная
Полежаевская ; Октябрьское поле; Беговая
Пражская ; Улица Академика Янгеля; Южная
Преображенская площадь ; Сокольники; Черкизовская
Пролетарская ; Крестьянская застава; Таганская
Проспект Вернадского ; Юго-Западная; Университет
Проспект Мира; Сухаревская; Рижская
Профсоюзная; Калужская; Новые Черемушки
Пушкинская; Тверская; Кузнецкий мост
Раменки; Мичуринский проспект; Ломоносовский проспект
Речной вокзал; Водный стадион; Тимирязевская
Рижская; Проспект Мира; Алексеевская
Румянцево; Тропарёво; Солнцево
Савеловская; Дмитровская; Менделеевская
Саларьево; Рассказовка; Филатов Луг
Севастопольская; Чертановская; Каховская
Семеновская; Электрозаводская; Первомайская
Серпуховская; Добрынинская; Полянка
Славянский бульвар; Парк Победы; Кунцевская
Смоленская; Арбатская; Киевская
Сокол; Аэропорт; Динамо
Солнцево; Боровское шоссе; Румянцево
Спартак; Тушинская; Щукинская
Спортивная; Фрунзенская; Воробьевы горы
Сретенский бульвар; Чкаловская; Тургеневская
Строгино; Крылатское; Мякинино
Студенческая ; Беговая; Кутузовская
Сухаревская ; Тургеневская; Сретенский бульвар
Сходненская ; Планерная; Тушинская
Таганская ; Китай-город; Пролетарская
Тверская ; Пушкинская; Чеховская
Текстильщики ; Волгоградский проспект; Кузьминки
Теплый Стан ; Коньково; Ясенево
Технопарк ; Автозаводская; Коломенская
Тимирязевская ; Дмитровская; Петровско-Разумовская
Третьяковская ; Новокузнецкая; Шаболовская
Тропарёво ; Юго-Западная; Румянцево
Трубная ; Достоевская; Чеховская
Тульская ; Серпуховская; Нагатинская
Улица 1905 года ; Баррикадная; Краснопресненская
Улица академика Янгеля ; Беляево; Калужская
Улица Скобелевская ; Ленинский проспект; Парк культуры
Университет ; Воробьёвы горы; Проспект Вернадского
Филевский парк ; Багратионовская; Пионерская
Фили ; Беговая; Кутузовская
Ховрино ; Беломорская; ЦСКА
Хорошевская; Деловой центр; Полежаевская
Царицыно; Орехово; Кантемировская
ЦСКА; Сокол; Аэропорт
Черкизовская; Преображенская площадь; Бульвар Рокоссовского
Чертановская; Южная; Севастопольская
Шаболовская; Октябрьская; Ленинский проспект
Шелепиха; Деловой центр; Парк Победы
Щукинская; Октябрьское поле; Спартак
Юго-Западная; Теплый Стан; Проспект Вернадского
Ясенево; Новоясеневская; Битцевский парк
Технопарк; Университет; Коломенская
Алтуфьево; Бибирево; Отрадное
Алексеевская; ВДНХ; Рижская
Борисово; Шипиловская; Марьино
Бульвар адмирала Ушакова; Молодежная; Университет
Царицыно; Орехово; Красногвардейская
Багратионовская; Фили; Кутузовская
Белокаменная; Технопарк; Улица Старокачаловская
Новаторская; ЗИЛ; Верхние Котлы
Лесопарковая; Битцевский парк; Улица Горчакова
Пражская; Южная; Улица Академика Янгеля
Свиблово; Ботанический сад; Отрадное
Лихоборы; Ховрино; Бескудниково
Крылатское; Молодежная; Минская
Добрынинская; Серпуховская; Октябрьская
Угрешская; Дубровка; Кожуховская
Крымская; Парк культуры; Октябрьская
Трубная; Сухаревская; Достоевская
Шаболовская; Крымская; Ленинский проспект
Сухаревская; Трубная; Сретенский бульвар
Некрасовка; Косино; Шоссе Энтузиастов
Цветной бульвар; Чеховская; Менделеевская
Пятницкое шоссе; Митино; Волоколамская
Рассказовка; Щелковская; Лосиноостровская
Спартак; Тушинская; Щукинская
Площадь Революции; Театральная; Арбатская
Ясенево; Новоясеневская; Теплый Стан
Верхние Котлы; Новаторская; Ломоносовский проспект
Улица Милашенкова; Коптево; Тимирязевская
Фонвизинская; Бутырская; Медведково
Шипиловская; Борисово; Зябликово
Чеховская; Тверская; Пушкинская
Южная; Чертановская; Пражская
Филатов луг; Прокшино; Ольховая
Юго-Восточная; Кузьминки; Рязанский проспект
